"","en","af","am","ar","as","az","be","bg","bn","bs","cs","da","de","dv","el","es","et","fa","fi","fr","ga","he","hi","hr","hy","id","is","it","ja","jv","ka","kk","ko","ky","lb","lt","lv","mk","mn","ms","mt","my","ne","nl","no","pl","ps","pt","ro","ru","sk","sl","so","sq","sr","su","sv","sw","tg","th","tk","tl","tr","uk","ur","uz","vi","zh"
"expertise","expertise","kundigheid","እውቀት","خبرة","বিশেষজ্ঞতা","ekspertiza","экспертыза","експертиза","দক্ষতা","stručnost","odbornost","ekspertise","Sachverstand","ތަޖުރިބާ ލިބިފައިވުން","εξειδίκευση","pericia","asjatundlikkus","تجربه و تخصص","asiantuntemusta","compétence","saineolas","מומחיות","विशेषज्ञता","stručnost","փորձագիտություն","keahlian","sérfræðiþekkingu","competenza","専門知識","keahlian","ექსპერტიზა","сараптама","전문적 지식","экспертиза","Expertise","ekspertizė","ekspertīze","експертиза","мэргэжил","kepakaran","kompetenza","ကျွမ်းကျင်မှု","विशेषज्ञता","expertise","ekspertise","ekspertyza","تخصص","perícia","expertiză","экспертиза","odbornosť","strokovnost","khibrad","ekspertizë","експертиза","kaahlian","expertis","utaalamu","тахассус","ความเชี่ยวชาญ","tejribe","kadalubhasaan","Uzmanlık","експертиза","مہارت","mutaxassislik","chuyên môn","专业知识"
"mastery","mastery","bemeestering","ጌትነት","تمكن","আয়ত্ত","ustalıq","майстэрства","майсторство","আয়ত্ত","majstorstvo","mistrovství","beherskelse","Meisterschaft","މާސްޓަރީ","μαεστρία","maestría","meisterlikkust","تسلط","mestaruus","la maîtrise","máistreacht","שליטה","प्रभुत्व","majstorstvo","վարպետություն","penguasaan","leikni","padronanza","習熟","nguwasani","ოსტატობა","шеберлік","지배","чеберчилик","Meeschterleeschtung","meistriškumas","meistarība","мајсторство","эзэмших","penguasaan","ħakma","ကျွမ်းကျင်","निपुणता","meesterschap","mestring","mistrzostwo","مهارت","domínio","măiestrie","мастерство","majstrovstvo","mojstrstvo","awood","mjeshtëri","мајсторство","ngawasaan","herravälde","umahiri","махорат","เชี่ยวชาญ","ussatlyk","pagwawagi","ustalık","майстерність","مہارت","mahorat","làm chủ","精通"
"effective","effective","effektief","ውጤታማ","فعال","কাৰ্যকৰী","təsirli","эфектыўны","ефективен","কার্যকর","efektivno","efektivní","effektiv","Wirksam","އަސަރުކުރުވާ","αποτελεσματικός","eficaz","tõhus","تاثير گذار","tehokas","efficace","éifeachtach","יָעִיל","असरदार","djelotvoran","արդյունավետ","efektif","áhrifarík","efficace","効果的","efektif","ეფექტური","тиімді","효과적인","натыйжалуу","effektiv","efektyvus","efektīvs","ефективни","үр дүнтэй","berkesan","effettivi","ထိရောက်သည်။","प्रभावकारी","effectief","effektive","skuteczny","اغیزمن","eficaz","efectiv","эффективный","efektívne","učinkovito","waxtar leh","efektive","делотворан","éféktif","effektiv","ufanisi","самаранок","มีประสิทธิภาพ","täsirli","epektibo","etkili","ефективний","مؤثر","samarali","hiệu quả","有效的"
"knowledgeable","knowledgeable","kundig","እውቀት ያለው","واسع المعرفة","জ্ঞানী","bilikli","дасведчаны","осведомен","জ্ঞানী","upućen","znalý","vidende","kenntnisreich","ޢިލްމުވެރިއެވެ","γνώστης","experto","teadlikud","آگاه","asiantunteva","bien informé","eolasach","בעל ידע","जानकार","znalački","բանիմաց","berpengetahuan luas","fróður","ben informato","知識豊富","pinter","მცოდნე","білімді","박식하다","билимдүү","kennt","nusimanantis","zinošs","упатен","мэдлэгтэй","berpengetahuan","infurmati","တတ်ကျွမ်းသူ","जानकार","deskundig","kunnskapsrik","bywały","پوهه","bem informado","informat","знающий","znalý","dobro obveščen","aqoon leh","i ditur","зналачки","pangaweruh","kunnig","mwenye ujuzi","донишманд","มีความรู้","bilimli","marunong","bilgili","обізнаний","جاننے والا","bilimdon","có kiến thức","知识渊博的"
"accomplished","accomplished","volbring","ተፈፀመ","مُتَفَوِّق","নিপুণ","yerinə yetirildi","выканана","изпълнено","সম্পন্ন","ostvareno","dokonalý","gennemført","vollendet","ނިމިފައި","τέλειος","logrado","saavutatud","انجام شد","saavutettu","réalisé","i gcrích","השיג","कुशल","ostvareno","իրականացված","ahli","afrekað","compiuto","達成した","rampung","შესრულებული","орындалды","뛰어난","аткарылган","erfëllt","įvykdytas","paveikts","остварен","биелсэн","dicapai","mwettqa","ပြီးမြောက်သည်။","पूरा भयो","volbracht","oppnådd","znakomity","بشپړ شوی","realizado","realizat","удавшийся","splnené","dosežen","dhammaatay","i realizuar","остварено","dilaksanakeun","skicklig","imekamilika","анҷом ёфт","สำเร็จ","ýerine ýetirildi","nagawa","başarılı","виконано","مکمل","bajarilgan","hoàn thành","完成"
"competent","competent","bevoeg","ብቃት ያለው","كفؤ","সক্ষম","səlahiyyətli","кампетэнтны","компетентен","দক্ষ","kompetentan","kompetentní","kompetent","kompetent","ކޮމްޕީޓެންޓް","ικανός","competente","kompetentne","صالح","pätevä","compétent","inniúil","מוסמך","सक्षम","kompetentan","իրավասու","kompeten","hæfur","competente","有能","kompeten","კომპეტენტური","құзыретті","능숙한","компетенттүү","kompetent","kompetentingas","kompetents","компетентен","чадвартай","kompeten","kompetenti","အရည်အချင်း","सक्षम","bekwaam","kompetent","kompetentny","وړ","competente","competente","компетентный","kompetentných","kompetenten","karti leh","kompetent","компетентан","kompeten","behörig","wenye uwezo","салоҳиятдор","สามารถ","başarnykly","may kakayahan","yetkili","компетентний","قابل","vakolatli","có thẩm quyền","胜任的"
"efficient","efficient","doeltreffend","ውጤታማ","فعال","দক্ষ","səmərəli","эфектыўны","ефикасен","দক্ষ","efikasan","účinný","effektiv","effizient","އެފިޝަންޓް","αποτελεσματικός","eficiente","tõhus","کارآمد","tehokas","efficace","éifeachtach","יָעִיל","कुशल","učinkovit","արդյունավետ","efisien","skilvirkur","efficiente","効率的","efisien","ეფექტური","нәтижелі","효율적인","натыйжалуу","effikass","efektyvus","efektīvs","ефикасен","үр ашигтай","cekap","effiċjenti","ထိရောက်မှု","कुशल","efficiënt","effektiv","wydajny","موثر","eficiente","eficient","эффективный","efektívne","učinkovito","hufan","efikas","ефикасан","efisien","effektiv","ufanisi","самаранок","มีประสิทธิภาพ","täsirli","mabisa","verimli","ефективний","موثر","samarali","có hiệu quả","高效的"
"qualified","qualified","gekwalifiseer","ብቁ","مؤهَل","যোগ্যতা অৰ্জন কৰা","ixtisaslı","кваліфікаваны","квалифицирани","যোগ্য","kvalifikovani","kvalifikovaný","kvalificeret","qualifiziert","ކޮލިފައިޑް","αρμόδιος","calificado","kvalifitseeritud","واجد شرایط","pätevä","qualifié","cáilithe","מוסמך","योग्य","kvalificirani","որակավորված","berkualitas","hæfur","qualificato","資格のある","mumpuni","კვალიფიციური","білікті","자격 있는","квалификациялуу","qualifizéiert","kvalifikuotas","kvalificēts","квалификувани","мэргэшсэн","berkelayakan","kwalifikati","အရည်အချင်းပြည့်မီသော","योग्य","gekwalificeerd","utdannet","wykwalifikowany","وړ","qualificado","calificat","квалифицированный","kvalifikovaní","kvalificiran","u qalma","i kualifikuar","квалификовани","mumpuni","kvalificerad","waliohitimu","соҳибихтисос","มีคุณสมบัติ","hünärli","kwalipikadong","kalifiye","кваліфікований","اہل","malakali","đạt tiêu chuẩn","合格的"
"proficiency","proficiency","vaardigheid","ብቃት","الكفاءة","দক্ষতা","bacarıq","майстэрства","опитност","দক্ষতা","stručnost","odbornost","dygtighed","Kompetenz","ފަންނުވެރިކަން ލިބިފައިވުން","ικανότητα","competencia","oskust","مهارت","pätevyys","compétence","oilteacht","מְיוּמָנוּת","प्रवीणता","stručnost","հմտություն","kecakapan","kunnáttu","competenza","習熟度","kaprigelan","ცოდნა","шеберлік","진보","чеберчилик","Fäegkeet","mokėjimas","prasme","владеење","ур чадвар","kemahiran","profiċjenza","ကျွမ်းကျင်မှု","दक्षता","vaardigheid","ferdigheter","biegłość","مهارت","competência","experiență","мастерство","odbornosť","strokovnost","karti","aftësi","стручност","kamahéran","skicklighet","ustadi","махорат","ความสามารถ","ussatlygy","kahusayan","yeterlilik","майстерність","مہارت","mahorat","khả năng","熟练程度"
"skilled","skilled","geskoolde","የተካነ","ماهر","দক্ষ","bacarıqlı","кваліфікаваны","квалифициран","দক্ষ","skilled","zručný","dygtige","qualifiziert","ހުނަރުވެރިއެވެ","έμπειρος","experto","oskuslikud","ماهر","taitava","qualifié","oilte","מְיוּמָן","कुशल","vješt","հմուտ","terampil","hæfileikaríkur","abile","熟練した","trampil","დახელოვნებული","білікті","숙련된","чебер","qualifizéiert","kvalifikuotas","prasmīgs","вешти","ур чадвартай","berkemahiran","tas-sengħa","ကျွမ်းကျင်","दक्ष","bekwaam","dyktig","wykwalifikowany","ماهر","especializado","calificat","опытный","zručný","usposobljeni","xirfad leh","i aftë","вешт","terampil","skicklig","wenye ujuzi","мохир","มีความชำนาญ","ökde","sanay","yetenekli","кваліфікований","ہنر مند","malakali","lành nghề","技能的"
